costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-9.836810396531199263e-01 4.666389966753914109e+01 1.641742838248715142e+00 1.159824158944397166e+00 5.320015654914642482e+02 4.188471450797471221e+02 4.810271636898803133e-02 2.983805427405802901e-02 3.944306294810796532e-01 8.775247437661016781e-01
-6.962254032828371075e-01 3.218137957024794105e+01 1.516047695588338629e+00 1.250422439982047607e+00 5.141020519046350046e+01 6.960829410217550048e+02 1.472293707637196969e-02 2.464925247281804510e-02 3.832741379881224320e-01 -1.891459878875976774e-01
-9.862588923684317832e-01 4.573512156018712460e+01 1.617428701363542443e+00 1.175862130643761772e+00 1.502502970919206007e+02 1.068286954559288517e+02 1.597593989375216406e-02 1.752879104143062472e-02 9.169715616108053968e-01 1.349906240258377799e-01
-5.005249875205308729e-01 2.939559337320449117e+01 1.417769609643857898e+00 1.334731987627419292e+00 2.901012286023973985e-01 4.562264325459457268e+02 3.650701635171146875e-02 2.930040821405182488e-02 -9.252010463375871518e-01 7.218690315621830722e-01
-9.582751673947091930e-01 4.358029834544009162e+01 1.583351910867892398e+00 1.199787722737297946e+00 2.226343441209732816e+02 5.978004497143882645e+02 1.164451079208038593e-02 4.667693819189838722e-02 7.720116802636741715e-01 2.455389690079780307e-01
-3.420807733282761331e-01 2.161599230480877054e+01 1.438746628935999805e+00 1.315648254562902464e+00 1.954388327515049184e+02 3.457616364126570829e+02 2.332263079754997789e-02 6.541138633859212674e-03 -1.061127505126470555e-01 -8.297499978463828141e-01
-9.894913810071515048e-01 4.494779044068624074e+01 1.465529049979879428e+00 1.292385699988309655e+00 4.548611417196590878e+01 1.564995552550120465e+03 4.934827683066275034e-02 2.593862514334698346e-02 -1.954573597512247740e-02 6.263917227304405255e-01
-8.713692709270117742e-01 4.200772271074853137e+01 1.404215898151856434e+00 1.347930264489007657e+00 7.859770501790038679e+02 2.410697244062124298e+02 4.468584068432993744e-02 2.121947850516781031e-03 2.106169688291454067e-01 -8.124655615942940612e-01
-7.178200118788070627e-01 3.482773462995554326e+01 1.454001750806736437e+00 1.302197154045102723e+00 6.100764021890856839e+02 2.926159796465185536e+02 3.938792917900942048e-02 2.735639734883612770e-02 -4.384521157340156433e-02 5.682690925085223665e-02
-8.889843483230835952e-01 4.110430180710051218e+01 1.419764781517109054e+00 1.333025985479291187e+00 2.859025036351391122e+02 5.801579808794216433e+02 3.592336336682860898e-02 1.151864505411638595e-02 -1.870986637990888213e-01 2.440826897957123348e-02
