costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-5.684975115456956107e-01 2.818264291631144758e+01 1.673815647352110636e+00 1.139076139335878812e+00 5.316918571388855241e+01 7.513598147319337386e+02 4.647434768278932427e-02 2.226173169951202804e-02 8.762823345861313618e-01 -2.682890424063477663e-01
-6.968801567386476714e-01 3.239999985005857042e+01 1.600030595149931845e+00 1.188354940935399062e+00 4.573432407961882404e+02 1.811262031740099019e+03 1.352316838495038961e-02 1.674502263618348197e-01 1.080938495391669807e-01 3.441472353778783910e-01
-9.907558006241481419e-01 4.478222618538502786e+01 1.702384895148991717e+00 1.121329230406629351e+00 6.436817144453958406e+01 5.937488631243497821e+02 6.592697933611266770e-01 5.590427633544572394e-01 -1.198125911369695706e-01 3.336237601007531195e-01
-5.513912959977985695e-01 2.592509366481169408e+01 1.647231937323655027e+00 1.156259123167813430e+00 2.284554296184720101e+01 2.370148220657195907e+03 1.564931775519193824e-01 3.091359671169250367e-01 -5.861432571718404594e-01 7.296860314643348611e-01
-9.959238891803784410e-01 4.372055383173330512e+01 1.513578791735379125e+00 1.252735873123139498e+00 3.232017211522217508e+02 1.876707139501833410e+02 3.769799975337689291e-01 8.183643860753498922e-01 -5.811035066562044715e-01 3.902254522578482709e-01
-9.899636689290424174e-01 4.460496609630284581e+01 1.700281508637989436e+00 1.122584848274533753e+00 1.192468728520110233e+02 2.517419515449608127e+02 7.445297756872470973e-02 2.091769131267381260e-02 4.813668669858591209e-01 2.155448270091529228e-01
-9.780289503509358440e-01 4.484747746947936520e+01 2.248965382219669351e+00 8.789777143446368957e-01 3.821263627940692409e+00 6.760618993598143334e+02 2.947041953751847188e-01 2.983582816336605159e-01 8.440169038636325949e-01 -7.554562299340580322e-01
-7.642279539250352860e-01 3.681760605444062406e+01 1.933965054069309630e+00 1.000210831467358785e+00 1.401343571575143869e+02 1.038353724245621521e+02 2.467601690081043173e-02 2.833450371019427538e-01 2.777237302491459420e-02 8.268949179372093727e-01
-9.924241420409934955e-01 4.718163969737573638e+01 1.413771799478476643e+00 1.338764556385460880e+00 5.002353681842498645e+02 1.217622486247997955e+02 8.492200331752469342e-03 1.845470106328961635e-01 -1.941591648391255975e-01 4.616211313467810033e-04
-9.621402050935607964e-01 4.707042051549210271e+01 1.702798023932565519e+00 1.121347411010499506e+00 4.721871154930725538e+02 9.148957739882882834e+02 3.133486655220796280e-01 5.675051771980474391e-02 2.249008073886383519e-01 -5.856362183222340034e-01
-5.849806861195966379e-01 3.044066191739617722e+01 1.988100815685984735e+00 9.762197863717004820e-01 3.960774896835494019e+01 5.632652604961145926e+01 1.563957151029633785e-01 2.491520676465663053e-01 1.043819035868489425e-01 9.022365712499972323e-01
-8.493378780609530665e-01 4.024310751054685653e+01 1.495834450138365579e+00 1.266944919260778457e+00 4.608270488382404437e+02 2.502414507977380822e+02 2.125999087769027962e-01 5.643192879235300330e-01 2.865739294213240917e-01 -1.136144661891259483e-01
-9.183178617734484295e-01 4.264875673759946295e+01 1.489246396368076875e+00 1.272227943081079227e+00 1.399240264726290093e+02 6.876064807606601335e+02 1.816023772309895423e-01 4.268839656965096041e-01 6.160259095881271962e-01 -2.952535412039123952e-01
-9.661704402859809804e-01 4.745394866829987279e+01 1.716818296460123072e+00 1.112663468551694956e+00 1.478944096008332281e+02 7.900924783314039246e+01 1.191768510735472381e-01 2.114825957485612362e-02 2.190757325239196807e-01 9.954933718522015473e-01
-9.149276579098809536e-01 4.246421758974422289e+01 1.430223901736465297e+00 1.323507205164901723e+00 4.765004796600938448e+02 3.641145992545846752e+02 5.667366973877151493e-01 5.053287006731925768e-01 -9.379383888900610922e-02 9.897050368261797737e-02
-9.521527505402576086e-01 4.475447538200677400e+01 1.860743105207378179e+00 1.034446105020047746e+00 6.063265406116848766e+01 7.478201575298520538e+02 8.808518968028979934e-01 3.169719916083164613e-01 3.597092923044833968e-02 6.213221967027304088e-02
-6.936508084207313463e-01 3.241864075365688791e+01 1.414960121096226153e+00 1.337629549307989940e+00 5.871268471989120599e+02 1.362103807144890197e+03 5.725429567990427543e-02 3.782473884805636621e-01 4.612530032124240731e-01 -6.932169784615183072e-02
-8.974859693250831771e-01 4.060006706374569063e+01 1.626921342197226839e+00 1.169779523491200068e+00 5.091365106308623467e+02 6.021846460469673730e+02 1.165203145866153672e-01 1.577344084813174507e-01 -2.772992523032042356e-01 6.850877793694160056e-01
-9.200826199065129662e-01 4.229393272303880025e+01 1.842057478288123162e+00 1.044004568122674614e+00 1.686376934034747421e+01 2.281397283382502508e+02 1.263798895270804856e-01 2.932001396048889430e-01 2.464088365785687407e-01 2.614245298304090359e-01
-9.907762707759875109e-01 4.489458571195522296e+01 1.825450201356918489e+00 1.052550002382169891e+00 1.648303754786842319e+02 1.375188917940885403e+03 1.586408039474527243e-01 4.154462496294357154e-01 1.801369319350037135e-01 1.986191596662361669e-01
-9.985776892501276869e-01 4.767582129891293619e+01 1.878233511404721057e+00 1.026367088541926709e+00 2.323688993727130878e+02 1.021582909934185636e+03 1.080424620163770860e-01 1.914828049664897835e-01 9.044206283633364762e-01 -4.745973994280690972e-02
-9.570020333940740809e-01 4.375065302003143586e+01 1.640976895227688637e+00 1.160144459006089868e+00 5.507635309647538691e+01 5.807381745886772251e+02 6.248428530500093059e-01 8.422861624324539109e-01 -1.713833549722403871e-01 2.389140624190265183e-01
-8.790252449728133133e-01 4.103902657539391186e+01 1.598245313005023815e+00 1.189399506372655679e+00 8.026311071766010627e+02 7.842976483754546280e+02 3.714167668735349759e-01 5.865304296452629462e-02 4.744869894455612525e-02 2.596003831762053737e-01
-9.814656100754581836e-01 4.474787252805693782e+01 1.444522093495850923e+00 1.310486369520052374e+00 1.530233360792227018e+02 1.895535327271928736e+02 2.160969359042917981e-01 3.496233560508166804e-01 -4.905970476423721083e-01 3.215629315220844275e-01
-7.335311655300623679e-01 3.293533332648028988e+01 1.578728274183065716e+00 1.203116569225270993e+00 9.780127780691097428e+01 8.012678925376050074e+02 8.202524445572871581e-02 1.068756207284880626e-02 1.795805751986497556e-01 5.608227452222354081e-01
-9.256732639456236589e-01 4.493222722961466076e+01 1.736331610800398328e+00 1.101560969626189435e+00 2.684611280541947735e+02 1.811382818139015399e+03 1.532223618478415761e-01 4.278290202738122550e-01 2.236346711316355984e-02 2.460543679703796338e-01
-9.547497815388131803e-01 4.455628975002547776e+01 2.258419271791671790e+00 8.760043654657814205e-01 2.384173238657956517e+01 2.310035479918444253e+03 5.738348595184911138e-01 7.389113207648237980e-01 4.636624811047190264e-01 -3.646752707398688287e-01
-7.986244868224757765e-01 3.751287383311250068e+01 1.703211895426993916e+00 1.120778899109722504e+00 4.197952573563613328e+02 2.011141010334937960e+02 1.013503405230662263e-01 7.234694778752533972e-01 -1.608075937923160170e-01 1.108455045765898567e-01
-9.639779836547953673e-01 4.105152155505061984e+01 1.814502569951703004e+00 1.058244944488381023e+00 8.709605658557242691e+01 2.307082347632021424e+02 2.905924106962120418e-03 1.934665653388137896e-01 2.039223809700470846e-01 6.804334610545486051e-01
-8.676623632434764533e-01 4.105129810279605351e+01 1.690139604830140474e+00 1.128701390746864153e+00 3.171496992148610161e+01 5.658316478373510563e+02 7.358683961975805154e-02 8.804795145018797786e-01 -2.960315900368327702e-01 8.476561698859047533e-02
-9.898179626558458732e-01 4.773133843246515085e+01 1.633840564583752375e+00 1.164862857672225971e+00 9.078222201159154281e+01 1.723662792889456568e+03 6.562292369282066162e-02 5.687561628655116719e-01 -1.211660654549238381e-01 8.377038185408512694e-02
-9.904268573594192659e-01 4.493121985275103469e+01 1.582544907679009683e+00 1.200437469670937229e+00 8.392437820155623740e+01 1.848163522282177837e+03 1.331450033943258893e-01 2.180457830647244410e-01 3.735016733479579187e-02 1.119333733672359943e-01
-8.661256782239155072e-01 4.260481941585847920e+01 1.679343311184068543e+00 1.135697920761095547e+00 1.968982540428626749e+01 2.921035647920144129e+03 3.548965292261551108e-01 1.536666708664403969e-01 2.947867558761156290e-02 3.458556449736216454e-01
-8.426634981187373086e-01 3.915641363120231944e+01 1.442980069210282990e+00 1.311730529813777357e+00 8.673089486597314135e+01 3.980587974233778823e+02 1.539595787390434824e-02 4.504826517603535141e-01 2.867746134414852488e-01 -5.614301068317269217e-02
-8.271254036340727200e-01 3.644405802424860497e+01 1.786405850927708538e+00 1.073251084274779998e+00 9.668193543812355983e+01 8.172108071657248729e+00 1.639908089983259654e-01 1.375048849507973237e-01 4.611523697705351976e-01 -1.949131062136781611e-01
-9.833958214028323264e-01 4.559610477347058577e+01 1.639616099806509242e+00 1.161125627914989966e+00 3.060468842058772765e+01 9.060704021842890370e+02 2.026018045845127680e-01 3.818124204357172813e-01 3.630384678419607547e-01 -1.753542647443211977e-01
